id,a_beijin_1,mapbg_lng,mapbg_lat
"288600",东城区,116.4105295728,39.9114262761
"568660",西城区,116.3594878904,39.9105957538
"2988894",昌平区,116.2044935760,40.2140651518
"2988895",大兴区,116.4147091411,39.6486512652
"2988896",房山区,115.8471393824,39.7177422155
"2988897",怀柔区,116.5798198665,40.6284602857
"2988898",门头沟区,115.7854446962,39.9926569605
"2988899",密云区,116.9882493918,40.5253281797
"2988900",平谷区,117.1391174736,40.2076225604
"2988901",顺义区,116.7167062872,40.1486117847
"2988902",通州区,116.7304068466,39.8028215851
"2988903",延庆区,116.1576614759,40.5384015883
"2988933",朝阳区,116.5076704931,39.9497164364
"2988946",丰台区,116.2440462856,39.8341691909
"5505984",海淀区,116.2271169715,40.0255733369
"5505985",石景山区,116.1706898186,39.9314700754
